"V1","V2","V3","V4"
0.378053888082504,0.230348030328751,0.0302640441805124,0.00158558157272637
0.373239889144897,0.224495241641998,0.0315670743584633,0.00207782001234591
0.378035023212433,0.227986464500427,0.0375391468405724,0.00233489880338311
0.358053102493286,0.213193038702011,0.0347794145345688,0.00130388047546148
0.348761125802994,0.207946086525917,0.038848876953125,1.18140876131088e-27
0.363071396350861,0.21876544713974,0.0382163189351559,0.000915248121600598
0.379021062850952,0.228642219901085,0.0355785898864269,0.00183464679867029
0.379660441875458,0.23111451625824,0.0402035005390644,1.89044522442229e-26
0.380969240665436,0.229366058707237,0.0329801812767982,0.00186867185402662
0.382714822292328,0.23216160595417,0.0352977402508259,0.00197725859470665
0.349262490272522,0.208867842555046,0.0411491207778454,0.00161053624469787
0.347728713750839,0.206476325392723,0.0379101410508156,0.000956644304096699
0.353817417621613,0.210440645217896,0.0440570563077927,0.0162830352783203
0.348373099565506,0.206828410029411,0.0366570651531219,0.000719812524039298
0.364576711654663,0.217775741815567,0.0450374707579613,9.33187129703583e-06
0.33905036687851,0.196710596084595,0.0320353992283344,0.00310894823633134
0.360471739768982,0.214422369599342,0.0376056060194969,0.000362875958671793
0.380963131189346,0.229190031290054,0.0344523042440414,0.00200972729362547
0.369926764965057,0.221943402886391,0.0388063937425613,1.18140876131088e-27
0.38199977517128,0.226887339949608,0.04228900000453,1.46956928848501e-27
0.378035023212433,0.228882903456688,0.0299135316163301,0.00119790330063552
0.361412181854248,0.215775871872902,0.0394983179867268,1.46956928848501e-27
0.356205537319183,0.212627509832382,0.0383224971592426,0.0017894038464874
0.350319638252258,0.20710585474968,0.0322702303528786,0.00186605472117662
0.380871995687485,0.229428539276123,0.0376809127628803,0.00155248795635998
0.348946228027344,0.207490334510803,0.0336669385433197,0.00133080477826297
0.378029778003693,0.229793319702148,0.0403535030782223,0.000379602919565514
0.375931277275085,0.228204855918884,0.0345264077186584,0.00163136492483318
0.349016889333725,0.206810096502304,0.0399417541921139,1.46956928848501e-27
0.380963131189346,0.23027151286602,0.0370250754058361,0.00151162885595113
0.381350501775742,0.22804478764534,0.0397281460464001,0.000595517107285559
0.362696542739868,0.219417656064034,0.0378260277211666,1.18140876131088e-27
0.360203548669815,0.214836413264275,0.0357147753238678,0.00112634606193751
0.36691935300827,0.220090816020966,0.0349883697926998,0.000704563863109797
0.365016236305237,0.220723996162415,0.0351163521409035,0.00182125589344651
0.359314932823181,0.213838378190994,0.0344694517552853,0.00251670833677053
0.355257436037064,0.211460316777229,0.0366090573370457,9.84929914319863e-28
0.360955282449722,0.216362545490265,0.0398982279002666,1.46956928848501e-27
0.347063794136047,0.205381313562393,0.0406547710299492,1.18140876131088e-27
0.380871995687485,0.229428539276123,0.0411588437855244,7.67313369891614e-27
0.364058330059052,0.21819316804409,0.0316312164068222,0.00273251859471202
0.367222234010696,0.220801720619202,0.0423514880239964,1.46956928848501e-27
0.34977857708931,0.208222413659096,0.0398364216089249,0.00162816036026925
0.353375777006149,0.208792159557343,0.0388476774096489,1.18140876131088e-27
0.381350501775742,0.228941479921341,0.0344237089157104,0.00217048730701208
